Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,03:30 - 04:00,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,03:30 - 04:00,Thursday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,03:30 - 04:00,Friday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,03:30 - 04:00,Saturday,0,0.01,0,0,0,"2,125","106,250",Late Night
EXPRESS ENT,04:00 - 04:30,Sunday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Monday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Tuesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Thursday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Friday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:00 - 04:30,Saturday,0,0.01,0,0,0,"2,125","106,250",Late Night
EXPRESS ENT,04:30 - 05:00,Sunday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Monday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Tuesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Thursday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Friday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,04:30 - 05:00,Saturday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Sunday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Monday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Tuesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Thursday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Friday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:00 - 05:30,Saturday,0.01,0,0.01,0.01,0.01,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Sunday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Monday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Tuesday,0,0.01,0.01,0,0,"2,125","106,250",Late Night
EXPRESS ENT,05:30 - 06:00,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Thursday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Friday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,05:30 - 06:00,Saturday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,06:00 - 06:30,Sunday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:00 - 06:30,Monday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:00 - 06:30,Tuesday,0.01,0.02,0.01,0.01,0.01,"2,125","53,125",Early Morning
EXPRESS ENT,06:00 - 06:30,Wednesday,0.01,0,0.01,0.01,0.01,"2,125",0,Early Morning
EXPRESS ENT,06:00 - 06:30,Thursday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:00 - 06:30,Friday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:00 - 06:30,Saturday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Sunday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Monday,0,0.01,0,0,0.01,"2,125","106,250",Early Morning
EXPRESS ENT,06:30 - 07:00,Tuesday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Wednesday,0.01,0,0.01,0.01,0.01,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Thursday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Friday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,06:30 - 07:00,Saturday,0,0,0,0,0,"2,125",0,Early Morning
